# This file contains the mean and standard deviation of the squared overlap <ψ_alpha=2|φ_alpha>²> of the ground state wavefunction of the generalized Haldane-Shastry model with arbitrary interaction range α with the the ground state of alpha=2 Haldane-Shastry model.
# Here N is the system size, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, α, δ, mean of squared overlap <ψ_alpha=2|φ_alpha>²>, standard deviation of squared overlap
 
N, α, δ, mean, std_deviation
20 0.1 0.0 0.9139203529231724 0.0
20 0.2 0.0 0.9303844457576517 0.0
20 0.3 0.0 0.9441122711080925 0.0
20 0.4 0.0 0.9554549085090508 0.0
20 0.5 0.0 0.9647554428821437 0.0
20 0.6 0.0 0.9723317639244948 0.0
20 0.7 0.0 0.9784676186740776 0.0
20 0.8 0.0 0.9834095590773888 0.0
20 0.9 0.0 0.9873676678865303 0.0
20 1.0 0.0 0.9905184251254205 0.0
20 1.1 0.0 0.9930085729073849 0.0
20 1.2 0.0 0.9949592493870051 0.0
20 1.3 0.0 0.9964699675903145 0.0
20 1.4 0.0 0.997622221664509 0.0
20 1.5 0.0 0.9984826336207212 0.0
20 1.6 0.0 0.9991056302396734 0.0
20 1.7 0.0 0.999535680768842 0.0
20 1.8 0.0 0.9998091447747712 0.0
20 1.9 0.0 0.9999557851771459 0.0
20 2.0 0.0 1.0 0.0
20 2.1 0.0 0.9999618213821652 0.0
20 2.2 0.0 0.9998577240426674 0.0
20 2.3 0.0 0.9997012788911159 0.0
20 2.4 0.0 0.9995036814168392 0.0
20 2.5 0.0 0.9992741791482601 0.0
20 2.6 0.0 0.9990204179170132 0.0
20 2.7 0.0 0.9987487228596335 0.0
20 2.8 0.0 0.9984643269658361 0.0
20 2.9 0.0 0.9981715574430563 0.0
20 3.0 0.0 0.9978739881175844 0.0
20 Inf 0.0 0.9904101902970414 0.0
18 0.0 0.0 0.0014313778478424464 0.0
18 0.0001 0.0 0.9217086916975444 0.0
18 0.001 0.0 0.921849075359982 0.0
18 0.01 0.0 0.9232413970378748 0.0
18 0.1 0.0 0.9360555386141926 0.0
18 0.2 0.0 0.9481129347398565 0.0
18 0.3 0.0 0.9581586784358536 0.0
18 0.4 0.0 0.9664745692650059 0.0
18 0.5 0.0 0.9733200751238011 0.0
18 0.6 0.0 0.9789269102882632 0.0
18 0.7 0.0 0.9834973849470956 0.0
18 0.8 0.0 0.9872051931262479 0.0
18 0.9 0.0 0.9901976080693746 0.0
18 1.0 0.0 0.9925983554426825 0.0
18 1.1 0.0 0.9945106864606363 0.0
18 1.2 0.0 0.9960203624355578 0.0
18 1.3 0.0 0.9971983944322051 0.0
18 1.4 0.0 0.9981034682861576 0.0
18 1.5 0.0 0.9987840384951678 0.0
18 1.6 0.0 0.9992801048570417 0.0
18 1.7 0.0 0.9996247011687043 0.0
18 1.8 0.0 0.9998451314851409 0.0
18 1.9 0.0 0.9999639901963131 0.0
18 2.0 0.0 1.0 0.0
18 2.1 0.0 0.9999686982764583 0.0
18 2.2 0.0 0.9998829983295054 0.0
18 2.3 0.0 0.9997536479668104 0.0
18 2.4 0.0 0.9995896042167672 0.0
18 2.5 0.0 0.9993983397352177 0.0
18 2.6 0.0 0.9991860936704281 0.0
18 2.7 0.0 0.9989580774088287 0.0
18 2.8 0.0 0.9987186436747795 0.0
18 2.9 0.0 0.9984714258535654 0.0
18 3.0 0.0 0.9982194530963572 0.0
18 Inf 0.0 0.9917266172880244 0.0
16 0.0 0.0 0.006218082960216181 0.0
16 0.0001 0.0 0.9450499627653421 0.0
16 0.001 0.0 0.945146814494286 0.0
16 0.01 0.0 0.9461072402068872 0.0
16 0.1 0.0 0.9549378700367066 0.0
16 0.2 0.0 0.9632467335812371 0.0
16 0.3 0.0 0.9701863092121843 0.0
16 0.4 0.0 0.9759566761356906 0.0
16 0.5 0.0 0.9807354038745427 0.0
16 0.6 0.0 0.9846774667565206 0.0
16 0.7 0.0 0.9879164033656634 0.0
16 0.8 0.0 0.9905661710529957 0.0
16 0.9 0.0 0.9927233104597356 0.0
16 1.0 0.0 0.9944691678522335 0.0
16 1.1 0.0 0.9958720221429636 0.0
16 1.2 0.0 0.9969890330486839 0.0
16 1.3 0.0 0.9978679731532817 0.0
16 1.4 0.0 0.9985487358184414 0.0
16 1.5 0.0 0.9990646280611142 0.0
16 1.6 0.0 0.9994434666518226 0.0
16 1.7 0.0 0.9997084996609656 0.0
16 1.8 0.0 0.9998791764949942 0.0
16 1.9 0.0 0.9999717884659534 0.0
16 2.0 0.0 1.0 0.0
16 2.1 0.0 0.9999752882589784 0.0
16 2.2 0.0 0.9999073065514571 0.0
16 2.3 0.0 0.9998041846294006 0.0
16 2.4 0.0 0.9996727768966577 0.0
16 2.5 0.0 0.9995188677327718 0.0
16 2.6 0.0 0.9993473415640629 0.0
16 2.7 0.0 0.9991623239795306 0.0
16 2.8 0.0 0.9989672990688425 0.0
16 2.9 0.0 0.9987652072269757 0.0
16 3.0 0.0 0.9985585268988832 0.0
16 Inf 0.0 0.9930425099111265 0.0
14 0.0 0.0 0.1180397957184539 0.0
14 0.0001 0.0 0.9641362936471194 0.0
14 0.001 0.0 0.9641976318849671 0.0
14 0.01 0.0 0.9648059385436434 0.0
14 0.1 0.0 0.9704056128338593 0.0
14 0.2 0.0 0.975693859588415 0.0
14 0.3 0.0 0.9801357695172472 0.0
14 0.4 0.0 0.9838556827644146 0.0
14 0.5 0.0 0.9869616771653394 0.0
14 0.6 0.0 0.9895469329391067 0.0
14 0.7 0.0 0.9916912837262286 0.0
14 0.8 0.0 0.9934628034896305 0.0
14 0.9 0.0 0.9949193346171145 0.0
14 1.0 0.0 0.9961099027902873 0.0
