# This file contains the mean r-statistics values and standard errors for the generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in m=0 sector to analyse the data collapse as function of effective parameters αδ.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, αδ, mean_r_statistic, std_error
 
N, hj, δ, αδ, mean_r_statistic, std_error
16 0.3 1.0 3.5 0.4451947657862081 0.0007065336555094131
16 0.3 1.0 4.0 0.43419083590537905 0.0006252286590999639
16 0.3 1.0 4.5 0.4259399786637186 0.0005832498910989075
16 0.3 1.0 5.0 0.4174080377416834 0.0005412626597107757
16 0.3 1.0 5.5 0.4110992937437142 0.0004895465330029008
16 0.3 1.0 6.0 0.40649426385745463 0.0004252978033906084
16 0.3 1.0 6.5 0.401872198163595 0.0004445188096152887
16 0.3 1.0 7.0 0.39854292258643353 0.0004488739235201936
16 0.3 1.0 7.5 0.39598185918475254 0.0005047045739153583
16 0.3 1.0 8.0 0.39354380080376855 0.0006432857381198205
16 0.3 1.0 8.5 0.39228162312025383 0.000583005835173719
16 0.3 1.0 9.0 0.38983581242257065 0.0006868429487487511
16 0.3 1.0 9.5 0.38855265946226614 0.0008910099042641882
16 0.3 1.0 10.0 0.38687310582534273 0.001025958696666833
16 0.3 1.0 10.5 0.38460396515264283 0.001198431758836784
16 0.3 1.0 11.0 0.3839339004396964 0.0011087911720729184
16 0.3 1.0 11.5 0.3797800295678493 0.0015346380243301773
16 0.3 1.0 12.0 0.38156754611884325 0.0013508348981996143
16 0.3 1.0 12.5 0.37717289615783706 0.00154996675303963
16 0.3 1.0 13.0 0.3779015872915218 0.0015343617785111142
16 0.3 1.0 13.5 0.36776295413473775 0.002242192265620404
16 0.3 1.0 14.0 0.3636399954722068 0.0024686683184635774
16 0.3 1.0 14.5 0.3657120946256238 0.0022631383349739913
16 0.3 1.0 15.0 0.3620944490841282 0.0024462562582923363
16 0.5 0.1 0.5 0.5305004009977744 8.45243837126353e-5
16 0.5 0.1 1.0 0.5295566399001138 9.656919547482946e-5
16 0.5 0.1 1.5 0.5099401072225905 0.0006698449481890282
16 0.5 0.1 2.0 0.4705461947424578 0.001005335876695732
16 0.5 0.1 2.5 0.4411501511327051 0.0008942375264526148
16 0.5 0.1 3.0 0.42544172147685116 0.000808949964408675
16 0.5 0.1 3.5 0.4114275340613688 0.0006185126841861679
16 0.5 0.1 4.0 0.4046340271537058 0.0005119229578813699
16 0.5 0.1 4.5 0.39994006940796656 0.0004151846558195113
16 0.5 0.1 5.0 0.3966722691521744 0.000325456487541104
16 0.5 0.1 5.5 0.39462230886527705 0.00026097267374055005
16 0.5 0.1 6.0 0.3926456586532426 0.00021172755216028046
16 0.5 0.1 6.5 0.391574622173481 0.00019051417053799697
16 0.5 0.1 7.0 0.39068496474749503 0.0001748394815098672
16 0.5 0.1 7.5 0.3898719257533431 0.00017992902510497155
16 0.5 0.1 8.0 0.3889882805096612 0.00016077963357137372
16 0.5 0.1 8.5 0.38846601161340444 0.00017583905460048923
16 0.5 0.1 9.0 0.38862801942497444 0.00018333056072907517
16 0.5 0.1 9.5 0.38739053456999306 0.0001992132498053569
16 0.5 0.1 10.0 0.3873398604218096 0.00020166084145796612
16 0.5 0.1 10.5 0.3866841649033736 0.00022193997651443864
16 0.5 0.1 11.0 0.38648576175410343 0.00024914790887256826
16 0.5 0.1 11.5 0.38611042711194193 0.0002509655429443765
16 0.5 0.1 12.0 0.38639408520037855 0.000249104352086775
16 0.5 0.1 12.5 0.3855373331713907 0.00026801392972724994
16 0.5 0.1 13.0 0.3854231850890253 0.00028059872440833964
16 0.5 0.1 13.5 0.3849839967559587 0.0003281727304306454
16 0.5 0.1 14.0 0.38435381623972403 0.00033416365050031914
16 0.5 0.1 14.5 0.38388135733655754 0.0003469833211771661
16 0.5 0.1 15.0 0.3838753774792638 0.0003444334795513033
